City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
368,Mahibadhoo,MV,82.96,clear sky,3.7833,72.9667,Omadhoo Inn
369,Havelock,US,76.95,clear sky,34.8791,-76.9013,Sherwood Motel
373,Sao Felix Do Xingu,BR,79.63,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
375,Mitsamiouli,KM,81.03,clear sky,-11.3847,43.2844,Foyer ADM
380,Pathein,MM,75.85,overcast clouds,16.7833,94.7333,Pathein Hotel
384,Honiara,SB,76.55,overcast clouds,-9.4333,159.95,Heritage Park Hotel
386,Hobyo,SO,81.57,clear sky,5.3505,48.5268,Iftin hotel hobyo
387,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
390,Auki,SB,77.76,overcast clouds,-8.7676,160.7034,Auki Motel
397,Brenham,US,80.06,clear sky,30.1669,-96.3977,Hampton Inn & Suites Brenham
401,Acarau,BR,77.99,overcast clouds,-2.8856,-40.12,castelo pizzaria
406,Inhambane,MZ,76.21,clear sky,-23.865,35.3833,Oceano
407,Kitgum,UG,76.75,few clouds,3.2783,32.8867,Jaflo Gardens Hotel
408,Acajutla,SV,86.56,clear sky,13.5928,-89.8275,Laureles
411,Port-Gentil,GA,79.79,moderate rain,-0.7193,8.7815,Fengshui Residence
417,Gurupi,BR,77.76,scattered clouds,-11.7292,-49.0686,Via Norte Hotel
418,Barra Patuca,HN,83.79,clear sky,15.8,-84.2833,
419,Vallenar,CL,79.83,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
420,Araouane,ML,86.18,overcast clouds,18.9048,-3.5265,
422,Kismayo,SO,80.73,clear sky,-0.3582,42.5454,Agan-Hotel
424,Sorong,ID,77.05,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
425,Lamu,KE,82.62,clear sky,-2.2717,40.902,Lamu House
431,General Roca,AR,79.63,scattered clouds,-39.0333,-67.5833,Hotel El Recreo
438,Pedernales,DO,83.37,scattered clouds,18.0384,-71.744,Hotel Costa Marina
446,Ojinaga,MX,87.57,clear sky,29.5667,-104.4167,Suites Las Palmas
450,Kroya,ID,76.21,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
453,Khandwa,IN,85.66,clear sky,21.8333,76.3333,Hotel Grand Barrack
454,Namatanai,PG,77.05,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
459,Tadine,NC,81.19,broken clouds,-21.55,167.8833,
462,Diffa,NE,82.9,clear sky,13.3154,12.6113,ProDAF/Diffa
463,Thayetmyo,MM,79.9,scattered clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
468,Bac Lieu,VN,81.18,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
470,Jacareacanga,BR,81.95,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
474,Kota Belud,MY,75.29,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
475,Taoudenni,ML,81.95,overcast clouds,22.6783,-3.9836,
476,Jacksonville Beach,US,86.05,broken clouds,30.2947,-81.3931,Courtyard by Marriott Jacksonville Beach Oceanfront
477,Filingue,NE,86.07,broken clouds,14.3521,3.3168,
478,Sierra Vista,US,76.73,clear sky,31.5545,-110.3037,Gateway Studio Suites
483,Matamoros,MX,87.91,broken clouds,25.5333,-103.25,Quinta Belem
486,Saint-Georges,GD,82.08,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
491,Wad Madani,SD,89.06,few clouds,14.4012,33.5199,فندق يوغسلافيا
492,Aswan,EG,85.08,scattered clouds,24.0934,32.907,Nuba Nile
493,Sumenep,ID,78.39,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
496,Tabou,CI,80.64,light rain,4.423,-7.3528,hotêl doufoulougou
500,Luziania,BR,85.69,scattered clouds,-16.2525,-47.9503,HOTEL SARON
507,Conde,BR,80.06,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
515,Iralaya,HN,82.83,clear sky,15.0,-83.2333,Iglesia morava renovada
520,Otukpo,NG,81.84,overcast clouds,7.1913,8.1329,Queen s Hotel
522,Grand Gaube,MU,75.6,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
526,Banjar,ID,77.79,overcast clouds,-8.19,114.9675,The Hamsa Resort
534,Anloga,GH,83.23,overcast clouds,5.7947,0.8973,Pin Drop Hotel
543,Parangan,PH,81.21,broken clouds,5.0839,119.9383,
547,Mangrol,IN,77.2,clear sky,21.1167,70.1167,Hotel The Royal Honours
551,Gadung,PH,78.1,broken clouds,6.8025,124.02,
555,Papara,BR,81.0,overcast clouds,-3.9839,-38.7273,Bela vista Maranguape
567,Tomatlan,MX,84.25,broken clouds,19.9333,-105.25,El Salvial
569,Itarema,BR,77.07,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
573,Merauke,ID,78.85,overcast clouds,-8.4667,140.3333,
574,Oum Hadjer,TD,88.56,clear sky,13.2954,19.6966,
575,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
576,Tendukheda,IN,82.74,clear sky,23.4,79.55,Aditya patel
579,Siddharthanagar,NP,75.85,clear sky,27.5,83.45,Hotel Joshi
585,Tecoanapa,MX,83.52,broken clouds,16.5167,-98.75,Hotel Manglares
587,Harindanga,IN,80.26,overcast clouds,22.0383,88.3214,Hasanur Builders
588,Kaura Namoda,NG,86.25,clear sky,12.5898,6.5779,Moonlight Hotel
593,Edd,ER,86.25,clear sky,13.9297,41.6925,
595,Kavaratti,IN,82.22,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
597,Chopda,IN,82.36,clear sky,21.25,75.3,CHACHA BHATIJA AAMLET CENTAR
603,Bhag,PK,82.76,clear sky,29.0415,67.8239,Bukhari hotl
604,Maceio,BR,81.84,light rain,-9.6658,-35.7353,Hotel Ponta Verde Maceió
623,Gizo,SB,79.93,light rain,-8.103,156.8419,Imagination Island
624,Beeville,US,87.3,clear sky,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
627,Karanpura,IN,76.3,clear sky,29.1018,75.092,सहारण भवन
631,Mecca,SA,78.4,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
633,Vaitape,PF,80.67,moderate rain,-16.5167,-151.75,Conrad Bora Bora Nui
636,Suchil,MX,81.43,clear sky,23.6333,-103.9167,Hotel Sinaí
643,Ndele,CF,81.91,broken clouds,8.4109,20.6473,
646,Hays,US,81.99,clear sky,30.0502,-98.0336,Sinya on Lone Man Creek
652,Angoche,MZ,77.67,clear sky,-16.2325,39.9086,Guest House HESADA
654,Rawson,AR,79.2,few clouds,-43.3002,-65.1023,Hosteria Sampedro
655,Santa Ana,US,78.71,haze,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
660,Ambulu,ID,75.72,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
666,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
670,Samana,DO,84.42,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
671,Mandalgarh,IN,77.23,clear sky,25.2,75.1,दुर्गा टेंट हाऊस
672,Jalingo,NG,85.37,overcast clouds,8.8833,11.3667,Debright Motel
674,Tessalit,ML,85.93,overcast clouds,20.1986,1.0114,
