City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
60,San Cristobal,7.7669,-72.225,78.98,38,76,6.35,VE,2022-04-01 21:12:17,broken clouds
61,Chuy,-33.6971,-53.4616,59.95,66,55,8.41,UY,2022-04-01 21:13:58,broken clouds
62,Port Alfred,-33.5906,26.891,61.18,97,98,7.4,ZA,2022-04-01 21:13:59,overcast clouds
63,Karratha,-20.7377,116.8463,82.58,76,1,6.2,AU,2022-04-01 21:13:59,clear sky
64,Nanortalik,60.1432,-45.2371,36.84,86,98,1.79,GL,2022-04-01 21:14:00,overcast clouds
65,Plattling,48.7833,12.8667,36.79,73,100,6.22,DE,2022-04-01 21:14:00,overcast clouds
66,Nuuk,64.1835,-51.7216,36.21,64,75,8.05,GL,2022-04-01 21:14:00,broken clouds
67,Tyubuk,56.0552,60.9405,24.57,97,100,4.25,RU,2022-04-01 21:14:01,light snow
68,Half Moon Bay,37.4636,-122.4286,77.41,65,20,16.11,US,2022-04-01 21:14:01,few clouds
69,Yumen,40.2833,97.2,38.61,21,0,5.68,CN,2022-04-01 21:14:02,clear sky
70,Cherskiy,68.75,161.3,-20.88,100,100,3.47,RU,2022-04-01 21:14:02,overcast clouds
71,Kavieng,-2.5744,150.7967,80.2,80,100,10.13,PG,2022-04-01 21:14:03,moderate rain
72,Vaini,-21.2,-175.2,82.56,83,75,3.44,TO,2022-04-01 21:14:03,broken clouds
73,Neiafu,-18.65,-173.9833,84.88,74,75,11.5,TO,2022-04-01 21:14:04,broken clouds
74,Mount Isa,-20.7333,139.5,71.37,24,21,10.36,AU,2022-04-01 21:14:04,few clouds
75,Tasiilaq,65.6145,-37.6368,32.16,92,100,3.74,GL,2022-04-01 21:14:04,overcast clouds
76,Krasnoselkup,65.7,82.4667,2.98,98,95,8.3,RU,2022-04-01 21:14:05,overcast clouds
77,Geraldton,-28.7667,114.6,73.81,78,75,11.5,AU,2022-04-01 21:14:06,broken clouds
78,Caravelas,-17.7125,-39.2481,78.33,77,0,6.4,BR,2022-04-01 21:14:07,clear sky
79,Lichinga,-13.3128,35.2406,60.91,99,88,4.5,MZ,2022-04-01 21:14:08,moderate rain
80,Port Macquarie,-31.4333,152.9167,61.9,70,73,10.31,AU,2022-04-01 21:14:09,broken clouds
81,Nova Olimpia,-14.7972,-57.2881,60.76,94,100,3.87,BR,2022-04-01 21:10:00,overcast clouds
82,Kapaa,22.0752,-159.319,80.58,72,40,16.11,US,2022-04-01 21:14:09,scattered clouds
83,Tezu,27.9167,96.1667,67.78,86,100,2.84,IN,2022-04-01 21:13:03,overcast clouds
84,Cidreira,-30.1811,-50.2056,64.33,63,9,6.6,BR,2022-04-01 21:14:10,clear sky
85,Barrow,71.2906,-156.7887,-5.78,71,0,17.27,US,2022-04-01 21:14:11,clear sky
86,Lorengau,-2.0226,147.2712,79.25,87,100,9.98,PG,2022-04-01 21:14:12,very heavy rain
87,Mainaguri,26.5667,88.8167,75.47,76,80,9.33,IN,2022-04-01 21:14:13,broken clouds
88,Salaga,8.5508,-0.5188,82.71,59,100,10.98,GH,2022-04-01 21:14:13,overcast clouds
89,Guaymas,27.9333,-110.9,82.89,39,40,16.11,MX,2022-04-01 21:13:58,scattered clouds
90,Hofn,64.2539,-15.2082,37.63,83,100,2.82,IS,2022-04-01 21:15:13,overcast clouds
91,Portland,45.5234,-122.6762,62.11,50,40,5.75,US,2022-04-01 21:11:42,scattered clouds
92,Roald,62.5833,6.1333,36.75,93,25,4.61,NO,2022-04-01 21:15:14,scattered clouds
93,Yerbogachen,61.2767,108.0108,14.52,90,85,11.72,RU,2022-04-01 21:15:15,overcast clouds
94,Pudozh,61.8099,36.5345,4.12,98,57,3.18,RU,2022-04-01 21:15:15,broken clouds
95,Hasaki,35.7333,140.8333,37.29,55,54,15.55,JP,2022-04-01 21:15:15,broken clouds
96,Sept-Iles,50.2001,-66.3821,33.06,96,100,12.66,CA,2022-04-01 21:15:16,mist
97,Langxiang,46.95,128.8833,20.03,86,80,3.09,CN,2022-04-01 21:15:16,broken clouds
98,Ponta Do Sol,32.6667,-17.1,65.01,85,100,1.1,PT,2022-04-01 21:15:17,overcast clouds
99,Carutapera,-1.195,-46.02,73.81,97,100,2.84,BR,2022-04-01 21:15:17,overcast clouds
100,Tacuarembo,-31.7333,-55.9833,63.7,51,11,6.8,UY,2022-04-01 21:15:18,few clouds
101,Friedeburg,53.45,7.8333,37.92,59,100,12.75,DE,2022-04-01 21:15:18,overcast clouds
102,Victoria,22.2855,114.1577,61.32,80,100,10.0,HK,2022-04-01 21:11:07,overcast clouds
103,Iracoubo,5.4802,-53.2011,77.05,90,100,10.47,GF,2022-04-01 21:15:19,overcast clouds
104,Hithadhoo,-0.6,73.0833,82.58,73,6,7.67,MV,2022-04-01 21:15:19,clear sky
